Number,Name,StreetAddress,City,ZipCode,Website,MeetingSchedule,RecessInfo,GeoLat,GeoLong
1,Golden City,"400 Tenth Street,",Golden,80401,http://coloradofreemasons.org/subDomains/goldencity1/,Meets on the 1st and 3rd Mondays at 1900 hours.,Recess: July and August,39.7126,-105.23
4,Nevada,"Main Street,",Nevadaville,80403,http://coloradofreemasons.org/subDomains/nevada4/,Meets on the 2nd Saturday at 1800 hours.,Recess: None,39.8552,-105.27
5,Denver,"1614 Welton Street,",Denver,80202,http://coloradofreemasons.org/subDomains/denver5/,Meets on the 1st and 3rd Thursdays at 1930 hours.,"Recess: June, July and August",39.7494,-104.994
6,Central,"111 Eureka Street,",Central City,80422,http://coloradofreemasons.org/subDomains/central6/,Meets on the 2nd Wednesday at 1800 hours.,"Recess: January, February, March and April",39.8214,-105.5
7,Union,"1614 Welton Street,",Denver,80202,http://coloradofreemasons.org/subDomains/union7/,Meets on the 2nd and 4th Saturdays at 1800 hours.,"Recess: June, July and August",39.7494,-104.994
11,Black Hawk,"4625 Morrison Road,",Denver,80219,http://coloradofreemasons.org/subDomains/blackhawk11/,Meets on the 2nd and 4th Thursdays at 1900 hours.,"Recess: June, July and August",39.6983,-105.033
12,Georgetown,"604 6th Street,",Georgetown,80444,http://coloradofreemasons.org/subDomains/georgetown12/,Meets on the 2nd Friday at 1900 hours.,Recess: None,39.7083,-105.694
13,El Paso,"1150 Panorama Drive,",Colorado Springs,80904,http://coloradofreemasons.org/subDomains/elpaso13/,Meets on the 2nd and 4th Fridays at 1900 hours.,Recess: July and August,38.8551,-104.865
14,Boulder,"4665 Nautilus Court South Suite 100,",Boulder,80301,http://coloradofreemasons.org/subDomains/columbia14/,Meets on the 1st and 3rd Tuesdays at 1900 hours.,Recess: July and August,40.0454,-105.213
15,Mount Moriah,"114 South Sixth Street,",Canon City,81212,http://coloradofreemasons.org/subDomains/mountmoriah15/,Meets on the 2nd Thursday at 1800 hours.,Recess: None,38.4487,-105.233
